key;author_name;book_ids
189;Alexandre Dumas;1237,1257,7993,8942,9619,10305
190;Alexandre Dumas fils;1828
191;Alexis de Tocqueville;1997,6070
192;Alexis Kirsch;9133,9157,9158,9159
193;Alfred Appel;6069
194;Alfred Bester;5550
195;Alfred Birnbaum;865,3163,10921
196;Alfred D. Chandler Jr.;5970
197;Alfred Hitchcock;3738,8414
198;Alfred Huang;8469
199;Alfred J. Church;812
200;Alfred Siewers;8946
201;Alfred Uhry;9313
202;Alfredo Crespo;7424
203;Algernon Blackwood;7922
204;Ali Douglass;10037
205;Ali Vali;10611
206;Alice Miller;4792
207;Alice Dalgliesh;6342,6343
208;Alice Hoffman;858,1267,2454,2474,2481,2785,3886,3915
209;Alice Hudson;7728
210;Alice Kaplan;1980
211;Alice Mayhew;6668
212;Alice Medrich;4332,4333,4336,9654
213;Alice Munro;2140,3139,3140,3170,6087,6145,6167,6713,8740
214;Alice Randall;5688
215;Alice Sebold;2121
216;Alice Walker;2023,5894,8002
217;Alice Wong;8578
218;Alicia Suskin Ostriker;1033
219;Alisa Freedman;5080
220;Alisa Klayman-Grodsky;7478
221;Alisa Valdes;52
222;Alison Anderson;6197
223;Alison Baverstock;10862
224;Alison Bechdel;5728,5762
225;Alison Boardman;10040
226;Alison Goodman;1489
227;Alison Kent;7092
228;Alison Leslie Gold;5884
229;Alison Lurie;1499
230;Alison Pace;9047
231;Alison Weir;2704,6476
232;Alistair Horne;9860
233;Alistair MacLeod;849
234;Alistair McCallum;1858
235;Alistair Moffat;7025
236;Alistair Welchman;4854
237;Alister E. McGrath;3523,8954,8955
238;Aljean Harmetz;7845
239;Allan Bloom;1951,4798
240;Allan C. Weisbecker;9750
241;Allan Cameron;9432
242;Allan Curless;1479
243;Allan Drummond;5701
244;Allan Janik;9444
245;Allan Kozinn;125
246;Allan Rosenberg;7352
247;Allan Ulrich;7902
248;Allan Zola Kronzek;10795
249;Allegra Goodman;3052,3416
250;Allen Carr;8935
251;Allen Ginsberg;668,1440,8349
252;Allen J. Frantzen;10385
253;Allen Mackey;9476
254;Allen Mandelbaum;1663,1816,2873,5249
255;Allen Noren;5617
256;Allen Rogers Benner;7778
257;Allen W. Wood;1224,5104
258;Allison Markin Powell;9513
260;Alma Flor Ada;6398,9070
261;Alma MacDougall Reising;7835
262;Alonzo C. Addison;8952
263;Alton Raible;6339
264;Alvin L. Reid;8136
265;Alyssa Harad;6847,6848
266;Amanda Ann Klein;10628
267;Amanda Clark;2960
268;Amanda Eyre Ward;2871
269;Amanda Hemingway;2795
270;Amanda Hopkinson;231,10382
271;Amanda Root;1283,1908
272;Amartya Sen;2354,3643,5083,6482
273;Ambrose Bierce;7922
274;Amelia Atwater-Rhodes;4174,4175,4182,4192,4193
275;America's Test Kitchen;10623
276;American Academy of Pediatrics;5471
277;Amiira Ruotola (-Behrendt);7321
278;Amir D. Aczel;6806
279;Amiri Baraka;10539
280;Amitav Ghosh;5760
281;Amos Oz;1722
282;Amy Berner;10564,10628
283;Amy Carter;7976
284;Amy Cotler;191
285;Amy Goldman Koss;10123
286;Amy Gutmann;6426,6429
287;Amy H. Sturgis;10441
288;Amy Hempel;6713
289;Amy Hill Hearth;8109
290;Amy Krouse Rosenthal;289,680,8822
291;Amy L. Marsland;8099
293;Amy Sedaris;4344,9415,9789,9790
294;Amy Sickels;7574
295;Amy Sohn;6796
296;Amy Tan;92,1575,1576,2811,6345,6364,10142,10946
297;Amy Taubin;5517
298;Amy Welborn;8160
299;Ana Alcaina;2172,2175,8827
300;Ana Alcaina Pérez;2171
301;Ana Falcão Bastos;11102,11103,11104,11105,11106,11107
302;Ana Juan;6873
303;Ana María de la Fuente;11011
304;Anaïs Nin;1624,1625,1635,1636,1670,1699,1734,1735,1736,1742,1748,1752,7688
305;Anaximander;1800
306;Anaximenes;1800
307;Anca Munteanu;7203
308;Ande Parks;9396
309;Anders Nilsen;5762
310;Anderson Cooper;662
311;Andre Dubus;6167,8388,8681
312;Andre Dubus III;7556
313;Andre Duza;8654
314;André Maurois;1339
315;Andre Norton;4414
316;Andrea Camilleri;1454,1534,1565
317;Andrea Juno;10450
318;Andrea Levy;2345,6913
319;Andrea Lingenfelter;2509
320;Andrea Wilson Nightingale;5149
321;Andreas Schwarz;8661
322;Andreas Gursky;8301
323;Andreas J. Köstenberger;8251
324;Andrei Codrescu;9598
325;Andrés Duany;8291
326;Andrew Hunt;2626
327;Andrew Hunt;4029
328;Andrew Brown;10263
329;Andrew Carnegie;4696
330;Andrew Cartmel;4028
331;Andrew Collins;10275
332;Andrew Darling;7082
333;Andrew Delbanco;3112
334;Andrew Dennis;9020,9023
335;Andrew Edwin Jenkins;4792
336;Andrew Elfenbein;1795
337;Andrew Ford;1083
338;Andrew Glass;733
339;Andrew Gross;2465,4460,4461,7036,9792,10074
341;Andrew Heintzman;8463
342;Andrew Helfer;7825
343;Andrew Hurley;1018,1108,1414,1520,1521,1610
344;Andrew Hussey;10134
345;Andrew J. Offutt;3850,7241
346;Andrew James McLean;4834
347;Andrew Klavan;5868
348;Andrew Lang;1083,2792
349;Andrew Leak;9456
350;Andrew M. Greeley;4962
351;Andrew McNeillie;1690,1738,1739,1740
352;Andrew Moore;10107
353;Andrew O'Hagan;814
354;Andrew P. Trout;2614
355;Andrew Pepoy;8888,8889,8899
356;Andrew R. MacAndrew;934,4682
357;Andrew Robert Burn;1172
358;Andrew S. Becker;8323
359;Andrew Scull;5074
360;Andrew Solomon;827,6291
361;Andrew Weil;5729
362;Andrew X. Pham;2250
363;Andy Crouch;2205
364;Andy Frankham-Allen;10275
365;Andy Gordon;9529
366;Andy Griffiths;2586,4085
367;Andy Grundberg;9490
368;Andy Hertzfeld;5620
369;Andy Hunt;1930,8643
370;Andy Kubert;7385
371;Andy Mastrocinque;7494
372;Andy McNab;5202
373;Andy Russell;10275
374;Andy Warhol;1763
375;Anette M. Pedersen;9020
376;Angel M.Y. Lin;7770
377;Angela Barrett;7159
378;Angela Carter;10340
379;Angela J. Linn;10451
380;Angela Knight;3933,3945,3965,3990,3991,3997,4012,4018,4984,10116,10122
381;Angela Scholar;1797
382;Angela Zeman;5869
383;Angelo Rinaldi;7021
384;Angus Easson;1834
385;Angus Gellatly;10197
386;Angus Wells;5299,5386
387;Anita Desai;1055,5660,5668
388;Anita Diamant;6609,7753
389;Anita Hoffman;10448
390;Anita Shreve;1713,1714,1715,2475,2511
391;Anita Thompson;9253
392;Anjali Singh;3159,3160
393;Anjelica Huston;6585
394;Ann Douglas;1340
395;Ann O'Leary;4764
396;Ann Abramson;4481
397;Ann Bausum;7577
398;Ann Beattie;6084,6640
399;Ann Brashares;3527,5310
400;Ann Charters;1053
401;Ann Druyan;2705
402;Ann Dunnigan;4695
403;Ann Finding;8146
404;Ann Granger;6926
405;Ann Hewetson;10249
406;Ann Hodgman;3776
407;Ann M. Martin;5571,5579,7489,9090
408;Ann Major;2963
409;Ann Margaret Lewis;2848
410;Ann Maxwell;205,207
411;Ann McGovern;1849
413;Ann Page;461
414;Ann Patchett;278,455,10201
415;Ann Rinaldi;1645,7404
416;Ann Romines;9297
417;Ann Rule;4575,5921
418;Ann Schweninger;1461
419;Ann Tashi Slater;747
420;Ann Thompson;10498
421;Ann Thwaite;8387
422;Ann-Marie MacDonald;298,6808
423;Anna Austen Lefroy;1850
424;Anna Brailovsky;3109
425;Anna Deavere Smith;8692
426;Anna Fields;5432
427;Anna Hamilton Phelan;5515
428;Anna J.;8648
429;Anna J. Evans;9111
430;Anna Massey;1394
431;Anna Maxted;52,169,605,6506,10351,10796
432;Anna Moschovakis;9862
433;Anna Okabe;7483
434;Anna Paterson;6999
435;Anna Quindlen;1141,3398,3619
436;Anna Sewell;4881
437;Anna Tambour;10555
438;Anna Wintour;8242
439;Annalee Allen;6561
440;Annalyn Swan;3150
441;Anne Born;1958,3003
442;Anne Borchardt;7822
443;Anne Brontë;10017,10186
444;Anne Carson;9858
445;Anne Chisholm;2588
446;Anne Dehne;10252
447;Anne Easter Smith;6714
448;Anne Elizabeth Moore;5762
449;Anne Fadiman;3036
450;Anne Frank;1141,8095
451;Anne Hoppus;6766,8267
452;Anne K. Mellor;3841
453;Anne Lamott;3482,8813,9710,10061
454;Anne Macdonald;2681
455;Anne Mazer;4047,4048,4070,4145,4146,9087,9088
456;Anne McCaffrey;2807,2823,2824,2864,5230,6379,6380,7209,7958,9076,10140
457;Anne McLean;9699
458;Anne Michaels;6181
459;Anne Millard;7566
460;Anne Moody;3420
461;Anne Morrow Lindbergh;6000
462;Anne Olivier Bell;1737,1738,1739,1740
463;Anne Perry;1857
464;Anne Rampling;6517
465;Anne Rice;823,879,890,891,2686,2699,2700,2722,2725,2741,2746,2839,2840,3058,3073,4707,4712,4738,4739,6003,6517,10982,10994,10995,10997,11000,11002,11066
466;Anne Stuart;2410,3322,4566,4624,4626,7339,7341,7345,7347,8076,9234
467;Anne Tyler;2133,2830,2845,2857,2884,4532,4533,4535,7692,10987
468;Anne Yvonne Gilbert;8450
469;Anne-Marie Duff;6821
470;Anne-Marie Martin;2706
471;Annette Lavers;7820
472;Annette Meyers;5695
473;Annette Smith;8063
474;Annie Dillard;514,515,521,702,809,3116,10539
475;Annie Proulx;111,1986,6246,6283,6698,9665
476;Annie Sparrow;6867
477;Anonymous;1046,2212,2356,3361,3365,7629,8469,10536
478;Anri Itō;3718
