key;title;isbn13;language_code;publication_date;publisher_id;book_ids
75;The History of Middle-Earth Index (The History of Middle-Earth  #13);9780007137435;eng;2002-08-05;882;1398,3583
76;The Lord of the Rings / The Hobbit;9780007144082;eng;2002-10-07;427;3583
77;Complete Works of Oscar Wilde;9780007144358;eng;2003-08-04;889;6002,6566
80;Tales from the Perilous Realm;9780007149124;eng;2002-09-02;889;3583
81;The Yiddish Policemen's Union;9780007149827;eng;2007-05-01;882;6046
82;The Solace Of Leaving Early;9780007152537;en-GB;2003-11-03;712;3238
83;How to Be Alone;9780007153589;eng;2007-07-02;873;4507
84;Out of the Silent Planet (The Space Trilogy  #1);9780007157150;eng;2005-12-05;882;1020
85;The Real Trial of Oscar Wilde;9780007158058;eng;2004-10-05;873;6002
86;I Can Read With My Eyes Shut!;9780007158515;eng;2003-05-06;893;2170
87;Oh  The Places You’ll Go!;9780007158522;eng;2003-05-06;893;2170
89;Are You Afraid of the Dark?;9780007165162;eng;2005-07-01;889;8080
90;And to Think That I Saw It on Mulberry Street;9780007169924;eng;2003-08-04;2086;2170
91;Ten Apples Up On Top!;9780007169979;eng;2003-08-04;893;2170,7742,8547
92;The Opposite of Fate;9780007170401;eng;2004-07-01;873;296
93;The Return of the King (The Lord of the Rings  #3);9780007171996;eng;2003-11-06;891;939,7391
94;I Wish That I Had Duck Feet;9780007173136;eng;2004-01-05;893;676,2170,8547
95;Horton Hatches the Egg;9780007175192;eng;2004-10-02;884;2170
96;Oh Say Can You Say?;9780007175222;eng;2005-11-01;1170;2170
98;If I Don't Write It Nobody Else Will: An Autobiography;9780007177844;eng;2006-05-01;733;2530
99;Reading Lolita in Tehran;9780007178483;eng;2004-01-02;733;623
100;The Monk Who Sold His Ferrari: A Fable about Fulfilling Your Dreams and Reaching Your Destiny (Revised);9780007179732;eng;2015-12-31;871;7620
101;Microserfs;9780007179817;eng;2008-01-01;873;2149
102;Where Rainbows End;9780007189953;eng;2004-11-08;882;1156
103;Poirot: The Complete Ariadne Oliver  Vol. 2;9780007190683;en-US;2005-06-01;889;79
104;The Known World;9780007195305;eng;2004-10-01;873;4944
105;The Mandarins;9780007203949;eng;2005-05-03;873;5193,8105
106;Naked Lunch: The Restored Text;9780007204441;eng;2005-05-03;889;9108
108;Angela's Ashes;9780007718726;eng;1998-12-17;1827;2708
109;The Love of the Last Tycoon;9780020199854;eng;1995-04-14;1777;2610
110;The Song of Rhiannon;9780020264736;eng;1992-09-01;424;2595
111;Heart Songs and Other Stories;9780020360759;eng;1995-03-17;1777;475
112;Winter Cottage;9780020419709;eng;1974-06-01;133;1097
113;Seaward;9780020421900;eng;1987-04-30;46;8373
114;The Voyage of the “Dawn Treader” (The Chronicles of Narnia  #3);9780020442608;eng;1970-01-01;1203;1020,6777
115;The Short Stories of Ernest Hemingway;9780020518600;eng;1987-03-01;1779;2555
116;Reason in History;9780023513206;eng;1995-12-24;1462;2901,7552
117;Nicomachean Ethics;9780023895302;en-US;1962-01-11;1596;3349,4190,5799
118;On Christian Doctrine;9780024021502;eng;1958-01-11;1133;612,1552
120;The Presocratics;9780024266408;en-US;1966-01-11;1594;6949
121;The Aeneid (Verse Translation);9780024277800;en-US;1987-01-15;1595;7661,8880
123;The MacMillan Bible Atlas;9780025006058;en-US;1993-03-17;2180;6032,9160
124;Spandau: The Secret Diaries;9780026995016;eng;1976-02-05;1201;143
125;Complete Idiot's Guide to The Beatles;9780028621302;eng;1997-12-01;70;245,7251
126;Tyranny of the Majority: Fundamental Fairness in Representative Democracy;9780029131695;eng;1995-02-01;740;5039,8224
127;The Origins of the Civil Rights Movements: Black Communities Organizing for Change;9780029221303;en-US;1986-09-15;740;148
128;Presidential Power and the Modern Presidents: The Politics of Leadership from Roosevelt to Reagan;9780029227961;eng;1991-03-01;740;7270
129;Rest Rabbit Rest (Sweet Pickles  #18);9780030420566;eng;1978-03-01;980;3634,7289
130;Where the Red Fern Grows with Connections;9780030547744;eng;1998-09-01;981;872,2021,3199,4417,4886,5951,6450,7096,7442,9130
